Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,16:00,28.1,10.6,30.0,1006.6,21.8,39.1,0.0,0.0,68.4,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,17:00,27.4,10.7,30.0,1006.7,22.2,61.5,0.0,0.0,73.7,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,18:00,26.6,11.3,30.0,1007.0,22.2,50.0,0.0,0.0,76.5,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,19:00,26.5,11.6,40.0,1007.7,22.1,50.0,0.0,0.0,76.8,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,20:00,26.5,11.5,40.0,1008.6,22.1,79.0,0.0,0.0,76.9,Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,21:00,26.5,11.1,50.0,1009.1,22.1,68.5,0.0,0.0,76.6,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,22:00,26.4,11.1,50.0,1009.4,22.3,70.0,0.0,0.0,77.8,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-14,23:00,26.3,10.9,50.0,1009.4,22.2,79.1,0.0,0.0,78.4,Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,00:00,26.1,10.3,50.0,1009.2,21.9,80.0,0.0,0.0,77.9,Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,01:00,25.9,10.0,50.0,1008.8,21.7,80.6,0.0,0.0,77.9,Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,02:00,25.7,9.8,50.0,1008.5,21.5,60.6,0.0,0.0,77.7,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,03:00,25.6,9.2,50.0,1008.3,21.4,51.6,0.0,0.0,77.7,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,04:00,25.4,8.6,50.0,1008.5,21.5,60.6,0.0,0.0,78.9,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,05:00,25.4,8.0,50.0,1009.3,21.6,41.6,0.0,0.0,79.4,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,06:00,25.5,7.7,50.0,1010.1,21.5,40.1,0.0,0.0,78.8,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,07:00,25.7,7.7,50.0,1011.0,21.4,40.1,0.0,0.0,77.1,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,08:00,26.7,8.4,50.0,1011.5,21.1,19.0,0.0,0.0,71.5,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,09:00,28.0,8.3,50.0,1011.9,20.8,9.0,0.0,0.0,65.1,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,10:00,29.1,8.0,49.5,1012.2,20.4,49.0,0.0,0.0,59.5,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,11:00,29.9,8.5,40.0,1011.5,20.6,58.5,0.0,0.0,57.4,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,12:00,30.2,9.2,40.0,1010.5,20.6,48.5,0.0,0.0,56.7,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,13:00,30.1,9.3,40.0,1009.5,20.7,38.5,0.0,0.0,57.1,Parcialmente Nublado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,14:00,29.6,9.5,40.0,1008.2,20.6,0.0,0.0,0.0,58.5,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,15:00,29.2,10.1,40.0,1007.0,20.6,0.0,0.0,0.0,59.9,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,16:00,28.3,10.4,40.0,1006.7,20.8,0.0,0.0,0.0,63.9,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,17:00,27.6,10.6,40.0,1006.5,21.6,0.0,0.0,0.0,69.9,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,18:00,26.6,11.2,40.0,1006.9,21.9,0.0,0.0,0.0,75.1,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,19:00,26.3,11.5,40.0,1007.6,22.0,10.0,0.0,0.0,76.9,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,20:00,26.4,11.5,40.0,1008.2,21.8,10.5,0.0,0.0,76.1,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,21:00,26.3,11.2,50.0,1008.7,21.8,10.0,0.0,0.0,76.5,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,22:00,26.3,10.9,50.0,1008.9,21.8,19.1,0.0,0.0,76.5,Despejado
08001000,10.97832,-74.813217,,ATLÁNTICO,2022-02-15,23:00,26.3,10.3,50.0,1009.0,21.3,30.6,0.0,0.0,74.2,Parcialmente Nublado
