Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,16:00,30.3,9.1,19.2,1006.4,23.2,87.8,0.0,0.0,66.1,Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,17:00,29.2,9.6,20.0,1006.6,22.7,60.8,0.0,0.0,68.1,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,18:00,28.0,9.9,28.9,1007.1,23.3,67.8,0.0,0.0,75.7,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,19:00,27.2,10.0,29.2,1008.1,23.1,60.0,0.0,0.0,78.6,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,20:00,26.9,9.9,30.0,1008.9,22.9,30.0,0.0,0.0,78.8,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,21:00,26.8,10.0,29.2,1009.4,22.9,58.9,0.0,0.0,79.2,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,22:00,26.7,9.8,28.9,1009.5,22.9,48.9,0.0,0.0,79.7,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-14,23:00,26.7,9.6,29.2,1009.5,22.8,38.9,0.0,0.0,79.6,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,00:00,26.6,8.0,30.0,1009.2,22.6,31.1,0.0,0.0,79.0,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,01:00,26.5,5.9,41.1,1008.9,22.4,38.9,0.0,0.0,78.4,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,02:00,26.4,4.6,60.8,1008.5,22.3,85.9,0.0,0.0,78.4,Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,03:00,26.3,3.8,70.8,1008.1,22.2,20.0,0.0,0.0,78.0,Despejado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,04:00,26.2,3.6,72.2,1008.3,22.2,27.8,0.0,0.0,78.6,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,05:00,26.1,3.7,60.0,1009.0,22.3,30.0,0.0,0.0,79.3,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,06:00,26.1,4.0,60.0,1010.0,22.3,30.0,0.0,0.0,79.8,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,07:00,26.2,4.6,57.8,1010.9,22.1,30.0,0.0,0.0,78.1,Parcialmente Nublado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,08:00,26.9,5.2,70.0,1011.7,20.6,11.9,0.0,0.0,68.3,Despejado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,09:00,28.5,4.9,78.1,1012.3,20.0,10.0,0.0,0.0,60.4,Despejado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,10:00,29.7,4.1,67.8,1012.5,19.7,11.1,0.0,0.0,55.2,Despejado
13001000,10.384988,-75.496426,,BOLÍVAR,2022-02-15,11:00,30.4,4.0,48.9,1011.6,20.3,11.1,0.0,0.0,54.9,Despejado
