Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,17:00,14.2,1.6,310.5,1011.9,9.8,70.0,0.0,0.0,74.8,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,18:00,11.3,1.4,320.0,1014.0,9.4,69.5,0.0,0.0,88.2,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,19:00,10.5,1.1,320.1,1015.1,9.2,69.5,0.0,0.0,91.9,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,20:00,10.7,1.2,320.5,1015.9,9.5,70.0,0.0,0.0,92.5,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,21:00,10.5,1.2,330.0,1016.8,9.5,90.0,0.0,0.0,93.7,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,22:00,10.1,1.3,330.1,1017.1,9.4,90.0,0.0,0.0,95.2,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-28,23:00,9.6,1.4,330.0,1017.1,9.0,90.0,0.0,0.0,95.7,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,00:00,9.1,1.5,339.5,1016.9,8.5,80.0,0.0,0.0,95.8,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,01:00,8.2,1.5,340.0,1016.7,7.6,79.9,0.0,0.0,96.1,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,02:00,7.8,1.4,350.0,1016.3,7.2,50.3,0.0,0.0,95.6,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,03:00,7.5,1.1,350.0,1016.0,7.0,69.9,0.0,0.0,96.8,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,04:00,7.2,1.2,330.1,1016.5,6.6,80.0,0.0,0.0,96.0,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,05:00,7.0,1.5,350.0,1017.3,6.3,80.0,0.0,0.0,95.2,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,06:00,6.8,1.4,350.1,1018.1,6.0,80.0,0.0,0.0,94.8,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,07:00,8.3,1.3,349.6,1018.7,7.1,70.4,0.0,0.0,91.7,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,08:00,11.0,1.5,339.6,1018.2,7.9,79.9,0.0,0.0,81.0,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,09:00,13.3,1.8,330.0,1017.6,7.6,60.0,0.0,0.0,68.6,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,10:00,15.4,2.2,330.0,1016.7,7.1,40.5,0.0,0.0,57.4,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,11:00,17.2,2.5,320.0,1015.3,7.3,40.1,0.0,0.0,52.3,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,12:00,17.8,2.9,320.0,1013.8,7.0,20.0,0.0,0.0,49.2,Despejado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,13:00,17.9,3.3,320.0,1012.4,7.4,30.0,0.0,0.0,50.2,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,14:00,16.2,3.6,320.0,1012.2,8.4,79.6,0.0,0.0,59.9,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,15:00,15.9,3.6,320.0,1011.6,9.2,60.0,0.0,0.0,64.5,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,16:00,15.3,3.1,320.0,1011.7,9.5,59.5,0.0,0.0,68.2,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,17:00,13.7,2.6,320.0,1012.8,10.0,50.0,0.0,0.0,78.4,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,18:00,10.9,2.0,330.0,1014.4,9.5,50.0,0.0,0.0,91.2,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,19:00,9.8,1.8,330.0,1016.0,9.1,40.0,0.0,0.0,95.7,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,20:00,9.3,1.5,330.1,1017.2,8.9,30.0,0.0,0.0,97.4,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,21:00,9.0,1.5,330.0,1018.1,8.7,40.0,0.0,0.0,98.2,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,22:00,9.0,1.1,329.5,1018.4,8.5,50.0,0.0,0.0,96.8,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-29,23:00,8.9,1.1,340.0,1018.3,8.1,60.1,0.0,0.0,94.8,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,00:00,8.6,1.2,350.1,1017.8,7.7,70.0,0.0,0.0,94.1,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,01:00,8.1,1.2,350.0,1017.2,7.2,80.0,0.0,0.0,93.9,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,02:00,7.7,0.9,10.2,1016.8,6.8,40.5,0.0,0.0,93.9,Parcialmente Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,03:00,7.8,0.8,359.9,1016.5,7.0,79.5,0.0,0.0,94.1,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,04:00,7.6,0.9,359.8,1016.8,6.7,80.0,0.0,0.0,94.1,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,05:00,7.5,1.1,349.5,1017.5,6.5,79.6,0.0,0.0,93.5,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,06:00,7.5,1.2,359.5,1018.0,6.4,79.6,0.0,0.0,92.9,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,07:00,8.6,1.2,349.7,1018.3,7.0,80.0,0.0,0.0,89.7,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,08:00,10.6,1.2,349.7,1018.2,7.5,90.0,0.0,0.0,81.3,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,09:00,12.6,1.4,350.0,1018.0,7.7,79.6,0.0,0.0,71.6,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,10:00,13.2,1.5,330.0,1017.9,7.7,79.6,0.0,0.0,69.5,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,11:00,13.9,1.5,320.0,1017.2,7.9,79.6,0.0,0.0,67.2,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,12:00,14.8,1.7,300.5,1015.8,7.9,80.1,0.0,0.0,63.6,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,13:00,15.2,1.9,290.5,1014.2,8.1,80.1,0.0,0.0,62.5,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,14:00,15.2,1.8,281.3,1012.8,8.5,89.6,0.0,0.0,64.5,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,15:00,15.2,1.5,272.0,1012.1,9.0,79.6,0.0,0.0,66.3,Nublado
15001000,5.539952,-73.35549,,BOYACÁ,2022-01-30,16:00,14.6,1.4,250.9,1012.2,9.5,80.0,0.0,0.0,71.4,Nublado
